name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids,minimum_permission_set,requested_atoms_used,necessary_atoms_used,reach,phi,gamma,pdei_score,n_eff,n_eff_tier,n_eff_source,platform_median_used,alpha1_star_used,alpha2_fork_used,lambda_dev,delta_t1,delta_t2,delta_t3,delta_t4,extra_t1,extra_t2,extra_t3,extra_t4,unknown_requested_atoms,unknown_necessary_atoms,path_A,path_B,path_C,path_D,path_E
customerio-debug-bundle,,21.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"I4,Q1,Q3,R4,U1,X1,X3,X7,X8","G1,I4,Q3,U1,X7,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","I4,Q1,Q3,R4,U1,X1,X3,X7,X8","Q1,R1,W2,W3",6.579,18.0,26.0,3079.01,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,1,4,1,"Q3,R4",U1,"X1,X3,X7,X8",I4,,,1,1,1,1,1
tripadvisor-content-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""Q1"", ""R1"", ""W2"", ""W3""]","I4,O3,Q1,R1,R7,X7","Q1,R1,W2,W3",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
sslmate-cert-spotter-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""Q1"", ""R1"", ""W2"", ""W3""]","I4,O3,Q1,R1,R7,X7","Q1,R1,W2,W3",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
notebooklm,,207.0,24807,2453,davila7,False,26056,Dom-4,T,skill.sh,"A2,A5,G1,G4,I3,O3,O4,Q1,Q3,R7,R8,X1,X2,X4,X7,X8","A2,G1,O4,W3,X8","[""Q1"", ""R1"", ""W2"", ""W3""]","A2,A5,G1,G4,I3,O3,O4,Q1,Q3,R7,R8,X1,X2,X4,X7,X8","Q1,R1,W2,W3",8.526,31.0,10.0,2643.0,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,8,2,"Q3,R7,R8",,"G4,O3,O4,X1,X2,X4,X7,X8","A5,I3",,,0,1,0,0,1
best-practices,,3166.0,1781,152,addyosmani,False,81168,Dom-13,T,skill.sh,"G1,Q1,R1,R7,S1,S2,S4,X3",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","G1,Q1,R1,R7,S1,S2,S4,X3","R1,R5,X1,X2,X6,X8",6.457,6.5,4.0,167.89,3562.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,0,1,0,"R7,S1,S2,S4",,X3,,,,0,1,0,0,0
sentry-javascript-bugs,,41.0,43631,4655,getsentry,True,109432,Dom-13,T,skill.sh,"I3,O4,Q1,Q4,R1,R7,X1,X7","O4,X1","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","I3,O4,Q1,Q4,R1,R7,X1,X7","R1,R5,X1,X2,X6,X8",8.973,11.0,10.0,987.0,87262.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,2,1,"Q4,R7",,"O4,X7",I3,,,0,1,0,0,1
team-frontend,,31.0,1845,147,catlog22,False,2012,Dom-13,T,skill.sh,"A5,G1,G3,I3,O3,O4,Q1,Q2,Q4,R1,X1,X7,X8","A5,G1,G5,O4,Q1,Q2,Q4,X1,X8","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A5,G1,G3,I3,O3,O4,Q1,Q2,Q4,R1,X1,X7,X8","R1,R5,X1,X2,X6,X8",6.481,20.0,10.0,1296.15,3690.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,4,2,"Q2,Q4",,"G3,O3,O4,X7","A5,I3",,,0,1,0,0,1
team-review,,23.0,1845,147,catlog22,False,2012,Dom-13,T,skill.sh,"A5,A7,G1,G2,O3,O4,Q1,Q2,R1,R7,X1,X8","A2,A5,A7,G1,G2,G3,G5,I4,O4,Q1,Q4,R1,X1,X8","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A5,A7,G1,G2,O3,O4,Q1,Q2,R1,R7,X1,X8","R1,R5,X1,X2,X6,X8",6.481,15.0,10.0,972.12,3690.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,2,2,"Q2,R7",,"O3,O4","A5,A7",,,0,1,0,0,1
breakdown-epic-arch,,7141.0,30605,3652,github,True,665129,Dom-13,T,skill.sh,"Q1,R1,R7,X3,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","Q1,R1,R7,X3,X8","R1,R5,X1,X2,X6,X8",8.704,3.5,4.0,121.86,61210.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,0,R7,,X3,,,,0,1,0,0,0
gsd-validate-phase,,,2781,317,davepoon,False,2817,Dom-13,T,skillsmp,"A7,G1,Q1,Q4,R1,R7,X1,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A7,G1,Q1,Q4,R1,R7,X1,X8","R1,R5,X1,X2,X6,X8",6.826,6.0,1.0,40.96,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,0,1,"Q4,R7",,,A7,,,0,0,0,0,0
scanning-input-validation-practices,,25.0,1990,269,jeremylongshore,False,2092,Dom-13,T,skill.sh,"G1,I3,Q1,Q4,R1,X1,X5","G1,I4,R1,R5,R9,X1,X2,X7,X8","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","G1,I3,Q1,Q4,R1,X1,X5","R1,R5,X1,X2,X6,X8",6.579,7.5,10.0,493.43,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,1,Q4,,X5,I3,,,0,1,0,0,1
anima-deploy-integration,,,1990,269,jeremylongshore,False,2092,Dom-13,F,skillsmp,"A4,I4,R7,R8,X1,X3,X7,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A4,I4,R7,R8,X1,X3,X7,X8","R1,R5,X1,X2,X6,X8",6.579,15.0,10.0,986.86,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,2,2,"R7,R8",,"X3,X7","A4,I4",,,0,1,0,0,1
mistral_ai-automation,,,55259,5931,ComposioHQ,True,98912,Dom-13,F,skillsmp,"A7,I4,O3,Q1,R1,R7,X7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A7,I4,O3,Q1,R1,R7,X7","R1,R5,X1,X2,X6,X8",9.158,14.0,10.0,1282.1,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,2,R7,,"O3,X7","A7,I4",,,0,1,0,0,1
cursor-prod-checklist,,28.0,1990,269,jeremylongshore,False,2092,Dom-13,T,skill.sh,"A3,G2,G5,I4,Q1,Q3,Q4,R1,R5,R7,X1,X7,X8",X8,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A3,G2,G5,I4,Q1,Q3,Q4,R1,R5,R7,X1,X7,X8","R1,R5,X1,X2,X6,X8",6.579,16.0,10.0,1052.65,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,2,2,"Q3,Q4,R7",,"G5,X7","A3,I4",,,0,1,0,0,1
clickhouse-performance-tuning,,,1990,269,jeremylongshore,False,2092,Dom-13,T,skillsmp,"A3,A4,G1,Q1,Q2,Q3,R7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A3,A4,G1,Q1,Q2,Q3,R7","R1,R5,X1,X2,X6,X8",6.579,11.0,1.0,72.37,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,0,2,"Q2,Q3,R7",,,"A3,A4",,,0,0,0,0,0
salesforce-advanced-troubleshooting,,,1990,269,jeremylongshore,False,2092,Dom-13,T,skillsmp,"A5,G1,O3,O4,Q1,Q2,R1,R7,W2,X1,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A5,G1,O3,O4,Q1,Q2,R1,R7,W2,X1,X8","R1,R5,X1,X2,X6,X8",6.579,11.0,10.0,723.7,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,2,1,"Q2,R7",,"O3,O4",A5,,,0,1,0,0,1
vestaboard-automation,,,55259,5931,ComposioHQ,True,98912,Dom-13,F,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","I4,O3,Q1,R1,R7,X7","R1,R5,X1,X2,X6,X8",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
commit-helper,,107.0,32070,4118,cockroachdb,True,45112,Dom-13,T,skill.sh,"Q1,R7,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","Q1,R7,X8","R1,R5,X1,X2,X6,X8",8.747,1.0,1.0,8.75,64140.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,0,0,R7,,,,,,0,0,0,0,0
securitytrails-automation,,,55259,5931,ComposioHQ,True,98912,Dom-13,F,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","I4,O3,Q1,R1,R7,X7","R1,R5,X1,X2,X6,X8",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
handling-api-errors,,21.0,1990,269,jeremylongshore,False,2092,Dom-13,F,skill.sh,"I3,Q3,R7,X1","A7,I4,Q1,R10,X8","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","I3,Q3,R7,X1","R1,R5,X1,X2,X6,X8",6.579,6.0,1.0,39.47,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,0,1,"Q3,R7",,,I3,,,0,0,0,0,0
python-expert,,,106653,15658,Shubhamsaboo,False,108090,Dom-13,F,skillsmp,"G1,Q1,Q3,R1,R7,X2,X3","G1,I4,Q4,R5,X6","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","G1,Q1,Q3,R1,R7,X2,X3","R1,R5,X1,X2,X6,X8",9.699,4.5,4.0,174.59,213306.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"Q3,R7",,X3,,,,0,1,0,0,0
bmad-agent-dev,,,45240,5359,bmad-code-org,True,45703,Dom-13,F,skillsmp,"R1,R7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","R1,R7","R1,R5,X1,X2,X6,X8",9.009,1.0,1.0,9.01,90480.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,0,0,R7,,,,,,0,0,0,0,0
flyio-local-dev-loop,,,1990,269,jeremylongshore,False,2092,Dom-13,F,skillsmp,"A5,R7,X1,X3,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A5,R7,X1,X3,X8","R1,R5,X1,X2,X6,X8",6.579,7.5,10.0,493.43,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,1,1,R7,,X3,A5,,,0,1,0,0,1
gh-fix-ci,,167.0,24807,2453,davila7,False,26056,Dom-13,T,skill.sh,"A2,G2,Q4,R8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A2,G2,Q4,R8","R1,R5,X1,X2,X6,X8",8.526,2.0,1.0,17.05,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,0,0,"Q4,R8",,,,,,0,0,0,0,0
opentrons-integration,,,19021,2131,K-Dense-AI,True,23527,Dom-13,T,skillsmp,"I3,O4,Q1,Q3,R7,R9,S7,X3","G1,O4,R5,X1","[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","I3,O4,Q1,Q3,R7,R9,S7,X3","R1,R5,X1,X2,X6,X8",8.328,13.0,10.0,1082.58,38042.0,2,star_proxy,38042.0,2.0,2.0,1.8,4,0,2,1,"Q3,R7,R9,S7",,"O4,X3",I3,,,0,1,0,0,1
figma-multi-env-setup,,,1990,269,jeremylongshore,False,2092,Dom-13,T,skillsmp,"A4,R7,R8,X1,X7",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A4,R7,R8,X1,X7","R1,R5,X1,X2,X6,X8",6.579,8.5,10.0,559.22,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,1,"R7,R8",,X7,A4,,,0,1,0,0,1
cursor-hello-world,,25.0,1990,269,jeremylongshore,False,2092,Dom-13,T,skill.sh,"G5,I4,Q2,Q3,R1,R7,X1,X4",O4,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","G5,I4,Q2,Q3,R1,R7,X1,X4","R1,R5,X1,X2,X6,X8",6.579,12.0,10.0,789.49,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,2,1,"Q2,Q3,R7",,"G5,X4",I4,,,0,1,0,0,1
klaviyo-deploy-integration,,,1990,269,jeremylongshore,False,2092,Dom-13,F,skillsmp,"A4,I4,Q3,R7,X1,X3,X7,X8",,"[""R1"", ""R5"", ""X1"", ""X2"", ""X6"", ""X8""]","A4,I4,Q3,R7,X1,X3,X7,X8","R1,R5,X1,X2,X6,X8",6.579,15.0,10.0,986.86,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,2,2,"Q3,R7",,"X3,X7","A4,I4",,,0,1,0,0,1
clade-data-handling,,,1990,269,jeremylongshore,False,2092,Dom-5,T,skillsmp,"Q3,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","Q3,R1,R7,X7","G1,Q1,R1,R4,R7,R8",6.579,3.5,4.0,92.11,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,1,0,Q3,,X7,,,,0,1,0,0,0
scanpy,,154.0,24807,2453,davila7,False,26056,Dom-5,F,skill.sh,"G1,G3,O3,Q1,Q2,R1,R7","G1,G5,Q2,Q4,R5","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,G3,O3,Q1,Q2,R1,R7","G1,Q1,R1,R4,R7,R8",8.526,6.0,4.0,204.62,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,2,0,Q2,,"G3,O3",,,,0,1,0,0,0
llamaindex,0.0,,7151,552,Orchestra-Research,True,7151,Dom-5,T,skillsdirectory,"A5,I4,O4,Q1,Q2,R1,R2,R7,R8,W1,X4,X7","A5,G1,O4,Q1,R1,R5,R8,X4","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,I4,O4,Q1,Q2,R1,R2,R7,R8,W1,X4,X7","G1,Q1,R1,R4,R7,R8",7.538,16.5,10.0,1243.75,14302.0,2,star_proxy,36905.0,2.0,2.0,1.8,1,0,3,2,Q2,,"O4,X4,X7","A5,I4",,,0,1,0,0,1
wiki,,,30354,2810,Yeachan-Heo,False,56602,Dom-5,T,skillsmp,"O4,Q1,R7,X8",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","O4,Q1,R7,X8","G1,Q1,R1,R4,R7,R8",8.679,5.0,1.0,43.4,60708.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,0,,,"O4,X8",,,,0,0,0,0,0
risk-management-specialist,,173.0,24807,2453,davila7,False,26056,Dom-5,T,skill.sh,"A5,G1,I3,K4,Q1,Q2,Q3,Q4,R1,R7","A2,A5,G1,Q2,Q3,Q4,R10,R5,U2","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,G1,I3,K4,Q1,Q2,Q3,Q4,R1,R7","G1,Q1,R1,R4,R7,R8",8.526,13.5,10.0,1150.99,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,1,2,"Q2,Q3,Q4",,K4,"A5,I3",,,0,1,0,0,1
literature-review,,652.0,24807,2453,davila7,False,26056,Dom-5,T,skill.sh,"G1,G3,I4,O4,Q1,Q2,Q3,Q4,R7,R8,R9,X1,X3,X4","G1,K3,O4,Q2,Q3,Q4,R1,R10,R5,W3,W4,X1,X3,X4,X5,X6,X8","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,G3,I4,O4,Q1,Q2,Q3,Q4,R7,R8,R9,X1,X3,X4","G1,Q1,R1,R4,R7,R8",8.526,20.5,10.0,1747.79,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,0,5,1,"Q2,Q3,Q4,R9",,"G3,O4,X1,X3,X4",I4,,,0,1,0,0,1
quality-manager-qmr,,150.0,24807,2453,davila7,False,26056,Dom-5,F,skill.sh,"A5,G1,Q4,R7",O4,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,G1,Q4,R7","G1,Q1,R1,R4,R7,R8",8.526,5.0,1.0,42.63,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,0,1,Q4,,,A5,,,0,0,0,0,0
fireflies-data-handling,,21.0,1990,269,jeremylongshore,False,2092,Dom-5,T,skill.sh,"O4,Q1,Q3,R7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","O4,Q1,Q3,R7","G1,Q1,R1,R4,R7,R8",6.579,3.5,4.0,92.11,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,1,0,Q3,,O4,,,,0,1,0,0,0
mdr-745-specialist,,169.0,12098,1590,alirezarezvani,False,14432,Dom-5,T,skill.sh,"A5,C3,G1,O3,Q1,Q2,Q3,Q4,R1,R7","A2,A5,C2,G1,G5,Q3,Q4,R10","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,C3,G1,O3,Q1,Q2,Q3,Q4,R1,R7","G1,Q1,R1,R4,R7,R8",7.987,11.5,26.0,2388.2,24196.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,1,1,1,"Q2,Q3,Q4",C3,O3,A5,,,1,1,1,1,1
cohere-data-handling,,,1990,269,jeremylongshore,False,2092,Dom-5,T,skillsmp,"O4,Q3,Q4,R1,R7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","O4,Q3,Q4,R1,R7","G1,Q1,R1,R4,R7,R8",6.579,4.5,4.0,118.42,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,0,"Q3,Q4",,O4,,,,0,1,0,0,0
systematic-literature-review,,,63061,8183,bytedance,True,295783,Dom-5,T,skillsmp,"A7,G1,I3,O3,Q1,Q2,Q4,R1,R7,X1,X7","G1,G5,K4,Q1,R10,W1,X2,X5","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A7,G1,I3,O3,Q1,Q2,Q4,R1,R7,X1,X7","G1,Q1,R1,R4,R7,R8",9.277,17.5,10.0,1623.44,126122.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,3,2,"Q2,Q4",,"O3,X1,X7","A7,I3",,,0,1,0,0,1
bmad-agent-analyst,,3.0,45240,5359,bmad-code-org,True,45703,Dom-5,T,skill.sh,"G1,R1,R7",G1,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,R1,R7","G1,Q1,R1,R4,R7,R8",9.009,0.0,1.0,0.0,90480.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,0,0,,,,,,,0,0,0,0,0
bmad-technical-research,,3.0,45240,5359,bmad-code-org,True,45703,Dom-5,T,skill.sh,"G1,G3,I3,Q1,W2","A2,C5,G1,G2,I4,Q4,X3,X5,X8","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,G3,I3,Q1,W2","G1,Q1,R1,R4,R7,R8",9.009,6.5,7.0,409.92,90480.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,1,1,,,G3,I3,,,0,0,0,0,1
medchem,,,19021,2131,K-Dense-AI,True,23527,Dom-5,T,skillsmp,"O3,Q1,Q2,Q4,R1,R7,R8,X4","G1,G5,Q2,Q4,R10,R5,X4,X6","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","O3,Q1,Q2,Q4,R1,R7,R8,X4","G1,Q1,R1,R4,R7,R8",8.328,7.0,4.0,233.17,38042.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,2,0,"Q2,Q4",,"O3,X4",,,,0,1,0,0,0
pydicom,,162.0,24807,2453,davila7,False,26056,Dom-5,T,skill.sh,"G1,I3,Q1,R1,R7,R8,X4","Q4,R10,R5,U2,X4,X6","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,I3,Q1,R1,R7,R8,X4","G1,Q1,R1,R4,R7,R8",8.526,6.5,7.0,387.92,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,1,1,,,X4,I3,,,0,0,0,0,1
clinical-decision-support,,177.0,24807,2453,davila7,False,26056,Dom-5,T,skill.sh,"G1,Q2,Q4,R7,X1","A2,A5,G1,G2,I4,Q1,Q2,Q3,Q4,R1,R10,R5,R9,U2,X1,X6,X7","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,Q2,Q4,R7,X1","G1,Q1,R1,R4,R7,R8",8.526,4.5,4.0,153.46,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,1,0,"Q2,Q4",,X1,,,,0,1,0,0,0
hypogenic,,133.0,24807,2453,davila7,False,26056,Dom-5,T,skill.sh,"G1,G3,I4,Q1,Q2,Q4,R1,R7,R8,X1,X4,X7,X8","G5,I4,Q4","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,G3,I4,Q1,Q2,Q4,R1,R7,R8,X1,X4,X7,X8","G1,Q1,R1,R4,R7,R8",8.526,18.5,10.0,1577.28,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,5,1,"Q2,Q4",,"G3,X1,X4,X7,X8",I4,,,0,1,0,0,1
openevidence-data-handling,,,1990,269,jeremylongshore,False,2092,Dom-5,T,skillsmp,"I4,O3,Q1,Q4,R7,R9",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","I4,O3,Q1,Q4,R7,R9","G1,Q1,R1,R4,R7,R8",6.579,8.5,10.0,559.22,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,1,1,"Q4,R9",,O3,I4,,,0,1,0,0,1
fact-checker,,,106653,15658,Shubhamsaboo,False,108090,Dom-5,T,skillsmp,"A5,G1,Q1",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,G1,Q1","G1,Q1,R1,R4,R7,R8",9.699,4.0,1.0,38.8,213306.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,0,1,,,,A5,,,0,0,0,0,0
gsd-milestone-summary,,,2781,317,davepoon,False,2817,Dom-5,T,skillsmp,"G1,I3,O4,Q1,Q2,Q4,R1,R5,R7,X1,X8",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","G1,I3,O4,Q1,Q2,Q4,R1,R5,R7,X1,X8","G1,Q1,R1,R4,R7,R8",6.826,14.5,10.0,989.76,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,3,1,"Q2,Q4,R5",,"O4,X1,X8",I3,,,0,1,0,0,1
speak-data-handling,,19.0,1990,269,jeremylongshore,False,2092,Dom-5,T,skill.sh,"A7,I4,R7,X1,X8","A3,G1,K4,O4,Q1","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A7,I4,R7,X1,X8","G1,Q1,R1,R4,R7,R8",6.579,13.0,7.0,598.7,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,2,2,,,"X1,X8","A7,I4",,,0,0,0,0,1
healthcare-cdss-patterns,0.0,,162357,25224,affaan-m,False,163369,Dom-5,T,skillsdirectory,"C3,G1,Q4,R1",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","C3,G1,Q4,R1","G1,Q1,R1,R4,R7,R8",10.034,3.0,6.0,180.6,324714.0,2,star_proxy,36905.0,2.0,2.0,1.8,1,1,0,0,Q4,C3,,,,,1,0,0,0,0
nlp-text-analyzer,,,1990,269,jeremylongshore,False,2092,Dom-5,T,skillsmp,"A4,G1,Q1",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A4,G1,Q1","G1,Q1,R1,R4,R7,R8",6.579,4.0,1.0,26.32,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,0,1,,,,A4,,,0,0,0,0,0
deep-research-notebooklm,,,24807,2453,davila7,False,26056,Dom-5,T,skillsmp,"A2,A5,G1,I3,Q1,R7","G1,G2","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A2,A5,G1,I3,Q1,R7","G1,Q1,R1,R4,R7,R8",8.526,8.0,1.0,68.21,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,0,2,,,,"A5,I3",,,0,0,0,0,0
information-security-manager-iso27001,,184.0,12098,1590,alirezarezvani,False,14432,Dom-5,T,skill.sh,"A5,G1,G3,Q2,Q4,R1,R7,U1","A2,A5,C2,G1,G2,I6,O4,Q3,Q4,R10,R5,R8,U1,X3,X6,X7","[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8""]","A5,G1,G3,Q2,Q4,R1,R7,U1","G1,Q1,R1,R4,R7,R8",7.987,10.5,26.0,2180.53,24196.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,1,1,1,"Q2,Q4",U1,G3,A5,,,1,1,1,1,1
data-analysis,,344.0,63061,8183,bytedance,True,295783,Dom-7,T,skill.sh,"G1,G5,Q1,Q2,Q4,R1,R4","G1,G3,R10,R5,X1,X6,X8","[""G1"", ""Q2"", ""R1"", ""R7"", ""R8""]","G1,G5,Q1,Q2,Q4,R1,R4","G1,Q2,R1,R7,R8",9.277,4.5,4.0,166.98,126122.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,1,0,"Q4,R4",,G5,,,,0,1,0,0,0
meeting-insights-analyzer,,,55259,5931,ComposioHQ,True,98912,Dom-7,T,skillsmp,"A4,G1,I3,O3,R7",,"[""G1"", ""Q2"", ""R1"", ""R7"", ""R8""]","A4,G1,I3,O3,R7","G1,Q2,R1,R7,R8",9.158,10.5,7.0,673.1,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,1,2,,,O3,"A4,I3",,,0,0,0,0,1
anomaly-detection-system,,,1990,269,jeremylongshore,False,2092,Dom-7,T,skillsmp,G1,,"[""G1"", ""Q2"", ""R1"", ""R7"", ""R8""]",G1,"G1,Q2,R1,R7,R8",6.579,0.0,1.0,0.0,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,0,0,,,,,,,0,0,0,0,0
campaign-analytics,,102.0,12098,1590,alirezarezvani,False,14432,Dom-7,T,skill.sh,"G1,I7,Q1,Q2,Q3,Q4,R1,R7,X8","A5,G1,Q2,Q3,Q4,R10,R5,X1","[""G1"", ""Q2"", ""R1"", ""R7"", ""R8""]","G1,I7,Q1,Q2,Q3,Q4,R1,R7,X8","G1,Q2,R1,R7,R8",7.987,8.5,10.0,678.92,24196.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,1,1,"Q3,Q4",,X8,I7,,,0,1,0,0,1
